Year,Quarter,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018,Q1,45,39948,617,Employed,Master,22,13152,48,Married,2,Own,183,0.35441791880765877,1,2,0.35833559969819156,0,Home,0,29,9,7632,1202,146111,19183,3329,0.7249720460524032,11,126928,0.19965200000000002,0.22758963035547056,419.8059915607372,0.18107719782539416,0,49
2018,Q1,38,39709,628,Employed,Associate,15,26045,48,Single,1,Mortgage,496,0.087826968,5,3,0.33027367,0,Debt Consolidation,0,21,9,4627,3460,53204,9595,3309.0833333333335,0.9351320992549323,3,43609,0.207045,0.2010771214969362,794.0542382198969,0.3898524480253535,0,52
2018,Q1,47,40724,570,Employed,Bachelor,26,17627,36,Married,2,Rent,902,0.13741410423759723,2,0,0.24472910913284945,0,Education,0,20,22,886,895,25176,128874,3393.6666666666665,0.8722406105782907,6,5205,0.21762700000000001,0.21254800984525773,666.4066876774697,0.4621569652325321,0,52
2018,Q1,58,69084,545,Employed,High School,34,37898,96,Single,1,Mortgage,755,0.2675871369453283,2,1,0.4362442650682687,0,Home,0,27,10,1675,1217,104822,5370,5757,0.8961547069636465,5,99452,0.300398,0.3009108491496013,1047.5069802292967,0.3130983116604649,0,54
2018,Q1,37,103264,594,Employed,Associate,17,9184,36,Married,1,Mortgage,274,0.3205353247385241,0,0,0.078884212,0,Debt Consolidation,0,26,27,1555,4981,244305,17286,8605.333333333334,0.9413687393229143,5,227019,0.197184,0.17599017877532833,330.17914048482373,0.070209847,1,36
2018,Q1,37,178310,626,Self-Employed,Master,16,15433,72,Married,0,Rent,732,0.10221133683825603,5,1,0.2593664008403899,0,Debt Consolidation,1,16,19,2118,1223,67914,40843,14859.166666666666,0.7560793594714331,5,27071,0.21743300000000002,0.21760115512283368,385.5770741531959,0.075211289,1,44
2018,Q1,58,51250,564,Employed,High School,39,12741,48,Married,0,Rent,337,0.3673803425383352,6,1,0.1274727031804663,0,Other,0,21,18,5161,1735,65624,43894,4270.833333333333,0.8842751265040522,5,21730,0.225741,0.20527096780610313,391.30035166528967,0.1705288628289459,0,50
2018,Q1,49,97345,516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.20976758316772148,5,0,0.39556763512473153,0,Other,0,19,11,781,74,50177,11556,8112.083333333333,0.9334924144306609,5,38621,0.226634,0.20911294209821452,1827.3600549751066,0.2607665587313296,1,42.400000000000006
2018,Q1,34,116841,603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.1927011647841362,3,0,0.3132332595016429,1,Debt Consolidation,0,25,29,1157,708,29632,49940,9736.75,0.7283969266537559,3,7711,0.258853,0.291539425,1762.1990260211653,0.2465092588411087,0,61
2018,Q1,46,40615,612,Employed,Associate,19,25443,12,Married,4,Other,704,0.5124646439687668,3,2,0.5051480267602317,0,Other,0,23,10,1028,446,129664,12852,3384.5833333333335,0.6153232100036344,3,116812,0.184443,0.19727060238590077,2353.577423938191,0.9033837027516506,0,53
2018,Q1,34,73646,478,Employed,Associate,10,48716,84,Single,3,Own,267,0.21123598795768952,4,1,0.08144473,0,Auto,0,25,7,9266,3875,148966,20315,6137.166666666667,0.6784469665655821,4,128651,0.334716,0.3335388817645363,1504.4524892505112,0.2886433733129584,0,47
2018,Q1,34,15000,591,Employed,Bachelor,11,30088,24,Married,2,Mortgage,295,0.3121837751773506,5,1,0.3466856611903402,0,Home,0,21,28,259,348,33062,3353,1250,0.8420154706035147,3,29709,0.209588,0.1824011978415739,1505.6095277284012,1.440487622182721,0,56
2018,Q1,42,74453,573,Employed,Bachelor,21,16154,60,Married,1,Rent,258,0.527488434,6,0,0.3710335920591852,0,Debt Consolidation,0,26,7,781,1633,16204,35493,6204.416666666667,0.7189488829956874,5,5231,0.23465400000000003,0.2556845305679195,479.5398903097801,0.11887336552882168,0,56
2018,Q1,18,100508,580,Employed,Associate,0,20439,60,Married,1,Rent,247,0.16862484631904753,5,2,0.5813609803865023,0,Other,1,20,3,2027,916,181813,99030,8375.666666666666,0.5437487788048109,6,82783,0.235439,0.24537427375417806,594.3815331706401,0.10045547019190196,0,63
2018,Q1,19,47624,597,Employed,Bachelor,0,27197,36,Married,1,Mortgage,196,0.11496656425227526,2,1,0.7515148192746655,0,Debt Consolidation,0,15,21,2971,576,45336,9418,3968.6666666666665,0.7199405535105939,3,35918,0.213697,0.20222892178091925,1013.8293748263418,0.30484529854518944,0,58
2018,Q1,33,56650,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0.044156804060227574,0,Auto,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.21641275248041184,480.84082795372984,0.1730289485515403,1,33.6
2018,Q1,27,50042,582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.10391913383966452,6,3,0.30886931431239806,0,Debt Consolidation,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304105,5,7021,0.233105,0.18712938714021898,492.58144374273706,0.28118335248217186,0,53
2018,Q1,43,142326,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.22257923089268752,1,2,0.295469876,0,Other,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.22379476530680692,303.1952309300833,0.090653449,1,39.2
2018,Q1,29,16021,553,Employed,High School,8,14655,72,Single,0,Rent,286,0.5560300102027713,5,1,0.10456868988252654,0,Debt Consolidation,1,25,12,8651,1127,29278,25345,1335.0833333333333,0.9491878340554413,4,3933,0.253155,0.23476621286054383,381.1768758297885,0.49972676549263234,0,59
2018,Q1,23,34698,594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.18720284040849783,5,0,0.10059796171633897,0,Debt Consolidation,0,27,29,3721,2098,128035,72605,2891.5,0.874070288,5,55430,0.222314,0.23147831381548117,404.73508890905856,0.40108424309495366,0,48
2018,Q1,57,106749,630,Employed,Master,30,15698,48,Single,0,Rent,1059,0.13254259847765193,0,1,0.14727968202244257,0,Auto,0,21,14,1686,4304,212568,8152,8895.75,0.8543548081496882,4,204416,0.195698,0.20441269189765232,481.39428855174276,0.17316069904749376,1,32.800000000000004
2018,Q1,37,59138,594,Employed,Associate,14,13205,72,Married,0,Own,564,0.3937721883778739,2,1,0.1116632265342507,0,Auto,0,18,9,1187,5192,24257,18681,4928.166666666667,0.8131010247954645,4,5576,0.231205,0.2114439606199491,325.1174211273312,0.1804154528987787,0,51
2018,Q1,40,114216,635,Employed,Doctorate,17,9809,60,Single,3,Rent,571,0.22418742080841883,3,1,0.6304483929012554,0,Home,0,26,2,720,2127,23984,27250,9518,0.8518390523096648,10,2482,0.197309,0.2011140337279482,260.48690525168723,0.087359414,1,46.400000000000006
2018,Q1,22,63300,503,Employed,Associate,0,16476,24,Married,2,Rent,376,0.3896493754670718,3,1,0.2357985888572082,0,Home,0,29,7,2154,1735,14710,53225,5275,0.8707229525687034,5,6903,0.23997599999999997,0.23167028804200007,864.2694728341611,0.23512217494486468,0,53
2018,Q1,33,39676,555,Employed,Master,12,47795,60,Single,1,Other,199,0.3465198640320265,2,1,0.5733945375308696,0,Home,0,19,4,840,1085,157749,76577,3306.3333333333335,0.5835994945074672,4,81172,0.275295,0.2534741417542575,1412.5978905237318,0.48742753015134543,0,60
2018,Q1,41,59192,594,Unemployed,High School,16,45608,36,Divorced,4,Mortgage,222,0.4093363654675574,4,0,0.2301158454793847,0,Auto,0,18,1,21084,3449,67609,9196,4932.666666666667,0.8443952357304327,3,58413,0.233608,0.2006826444515419,1696.5434894688626,0.38894651090732446,0,58
2018,Q1,26,15059,462,Employed,Associate,0,20240,24,Single,3,Other,443,0.09882176,2,0,0.067066338,0,Home,0,16,25,713,7335,29861,13107,1254.9166666666667,0.5990271745774041,12,16754,0.26424000000000003,0.24602066510262535,1076.2027060960763,1.2106004696960564,0,51
2018,Q1,44,15305,608,Self-Employed,Bachelor,23,21452,48,Single,4,Mortgage,443,0.11131469191867942,1,1,0.063153792,0,Home,0,21,29,9547,979,16936,7005,1275.4166666666667,0.9076742682849762,2,9931,0.212452,0.2253753021812303,682.1440641557417,0.8821776393249853,0,51
2018,Q1,32,35498,622,Employed,Master,10,11136,36,Married,0,Own,698,0.3907447101416139,2,0,0.17644435214873244,0,Home,0,18,17,1346,205,34189,31484,2958.1666666666665,0.703667984,3,2705,0.18513600000000002,0.16484597125860287,394.1781845250898,0.36920779239115104,0,48
2018,Q1,36,60227,576,Employed,Bachelor,14,25264,84,Divorced,3,Own,458,0.2782753429555818,3,1,0.14411268247253778,0,Home,0,27,28,5391,1993,141168,35773,5018.916666666667,0.8143479855465142,5,105395,0.26226400000000005,0.23912897098167804,622.0190932780162,0.21518968434981306,1,36.800000000000004
2018,Q1,32,23861,592,Self-Employed,High School,10,19570,36,Married,0,Other,521,0.2327773061723514,2,3,0.22371122452230632,0,Auto,0,29,27,3348,1072,85166,8627,1988.4166666666667,0.773488801,8,76539,0.20857,0.19703489214572906,724.3380618289065,0.6262963304952381,0,55
2018,Q1,62,73843,667,Unemployed,Master,37,44668,60,Single,1,Other,388,0.29595832023470897,7,2,0.15691370136970237,1,Home,0,16,3,17023,3352,56887,90622,6153.583333333333,0.9446486535560503,5,3068,0.21616799999999997,0.2346033277950418,1271.0537546851097,0.26960774963397094,0,62
2018,Q1,39,61099,559,Employed,Bachelor,19,10094,84,Married,0,Mortgage,380,0.1283514136335209,1,0,0.26521956624427306,0,Auto,0,21,19,2987,1795,69823,23540,5091.583333333333,0.8802478786881707,4,46283,0.255594,0.2610500458274805,262.6701511744103,0.1262220627848725,0,51
2018,Q1,27,15000,535,Employed,High School,4,11318,120,Single,2,Mortgage,721,0.5827549421963798,2,3,0.44838481873090436,0,Home,0,15,18,4172,3835,303949,13680,1250,0.8655246599640286,1,290269,0.29881800000000003,0.3435940105064144,335.3986467038278,0.8451189173630622,0,53
2018,Q1,49,34738,520,Employed,Associate,25,10166,72,Single,2,Mortgage,388,0.5663402048797452,3,3,0.3145138105264432,0,Home,0,27,4,1767,2757,249298,10972,2894.8333333333335,0.8798337627925418,2,238326,0.265166,0.2739332434358121,288.9598327490928,0.2338510562781137,0,55
2018,Q1,25,85889,571,Employed,Bachelor,3,24186,72,Married,2,Rent,870,0.33165676523242926,4,0,0.050538643663354726,0,Education,0,31,10,14921,1110,18899,5554,7157.416666666667,0.9056850659655092,4,13345,0.253686,0.27961774816718443,696.1364545483091,0.21881308962241625,0,49
2018,Q1,42,78701,552,Employed,Associate,18,18326,60,Married,1,Rent,482,0.1880053011286133,6,1,0.071301978,0,Home,0,25,19,463,1585,170720,30154,6558.416666666667,0.706246374,7,140566,0.247326,0.21891235092158512,505.01155031559216,0.1504954016313275,1,36
